track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,artist5
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,16,20,4,0,0,125,F#,Major,62,59,43,84,3,11,5,SZA, Phoebe Bridgers,"",110.07325,4,0,0,F#,Major,SZA,7
Special,SZA,1,2022,12,9,906,0,88092256,6,21,3,0,0,76,"",Major,60,19,20,78,0,11,5,SZA,"","",88.092256,3,0,0,"",Major,SZA,7
SOS,SZA,1,2022,12,9,827,0,73981293,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,SZA,"","",73.981293,1,0,0,G,Minor,SZA,7
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,13,87,17,0,46,78,A,Major,67,22,59,76,1,15,16,SZA, Travis Scott,"",155.653938,17,46,0,A,Major,SZA,7
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,SZA,"","",65.362788,2,0,0,F,Major,SZA,7
F2F,SZA,1,2022,12,9,989,0,67540165,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4,SZA,"","",67.540165,1,0,0,D,Major,SZA,7
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12,SZA,"","",62.019074,0,0,0,F,Major,SZA,7
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72,90,141,0,0,114,"",Major,59,60,94,24,0,10,4,Ed Sheeran, Elton John,"",135.723538,141,0,0,"",Major,Ed Sheeran,6
I Hate U,SZA,1,2021,12,3,4094,0,356709897,66,96,43,0,0,107,G,Minor,54,41,39,51,0,11,16,SZA,"","",356.709897,43,0,0,G,Minor,SZA,7
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38,SZA,"","",57.144458,3,0,0,G#,Major,SZA,7
Conceited,SZA,1,2022,12,9,899,0,56870689,2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7,SZA,"","",56.870689,2,0,0,C#,Major,SZA,7
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4,Taylor Swift, Lana Del Rey,"",323.437194,30,11,0,A,Major,Taylor Swift,1
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,Taylor Swift,"","",317.726339,14,0,0,G,Major,Taylor Swift,1
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,Taylor Swift,"","",328.207708,22,0,0,G,Major,Taylor Swift,1
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647,27,77,22,2,0,114,B,Minor,80,42,68,2,0,66,4,Bad Bunny, Jhay Cortez,"",608.228647,22,0,0,B,Minor,Bad Bunny,3
Too Late,SZA,1,2022,12,8,714,0,49262961,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8,SZA,"","",49.262961,2,0,0,B,Major,SZA,7
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082,38,64,37,3,36,97,A,Major,83,47,80,2,0,24,9,Bad Bunny, Rauw Alejandro,"",614.555082,37,36,0,A,Major,Bad Bunny,3
Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,SZA,"","",51.641685,1,0,0,D,Major,SZA,7
Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833,81,77,133,0,"",122,G,Major,70,91,79,3,0,7,10,The Weeknd,"","",326.792833,133,,0,G,Major,The Weeknd,2
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368,13,89,34,0,3,135,A,Minor,70,60,58,4,0,16,3,The Weeknd,"","",391.251368,34,3,0,A,Minor,The Weeknd,2
Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802,49,88,62,0,"",93,"",Minor,65,82,74,27,0,32,5,The Weeknd,"","",339.659802,62,,0,"",Minor,The Weeknd,2
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7,47,15,0,0,121,G,Minor,80,62,51,2,0,9,8,The Weeknd,"","",119.238316,15,0,0,G,Minor,The Weeknd,2
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11,29,14,0,0,123,F#,Minor,74,35,73,0,0,21,5,The Weeknd,"","",116.903579,14,0,0,F#,Minor,The Weeknd,2
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871,18,77,61,0,1,143,"",Major,53,50,79,0,0,8,3,The Weeknd,"","",200.660871,61,1,0,"",Major,The Weeknd,2
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,17,80,38,0,0,121,A#,Minor,70,35,77,1,0,26,4,The Weeknd,"","",130.655803,38,0,0,A#,Minor,The Weeknd,2
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7,18,7,0,0,135,C#,Major,41,27,64,36,0,60,3,The Weeknd, Tyler, The Creator,88.103848,7,0,0,C#,Major,The Weeknd,2
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21,The Weeknd,"","",101.114984,14,0,0,E,Minor,The Weeknd,2
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,382,65,497,0,12,111,G#,Major,77,74,66,30,0,13,3,SZA, Doja Cat,"",1575.467011,497,12,0,G#,Major,SZA,7
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19,The Weeknd, Lil Wayne,"",91.656026,9,0,0,D,Major,The Weeknd,2
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,0,78,A,Minor,27,10,49,62,0,49,5,The Weeknd,"","",53.933526,6,0,0,A,Minor,The Weeknd,2
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,The Weeknd,"","",74.601456,11,0,0,A,Minor,The Weeknd,2
